"Time","Temp","WindDir","WindSpeed"
"Sat Jan 14 10:00:00 CET 2012","3.0","NNW","1.0"
"Sat Jan 14 13:00:00 CET 2012","6.0","NW","2.0"
"Sat Jan 14 19:00:00 CET 2012","5.0","North","1.0"
"Sun Jan 15 04:00:00 CET 2012","1.0","ENE","1.0"
"Sun Jan 15 07:00:00 CET 2012","2.0","ESE","2.0"
"Sun Jan 15 10:00:00 CET 2012","2.0","ESE","3.0"
"Sun Jan 15 13:00:00 CET 2012","5.0","East","2.0"
"Sun Jan 15 19:00:00 CET 2012","3.0","NE","3.0"
"Sun Jan 15 22:00:00 CET 2012","2.0","ENE","3.0"
"Mon Jan 16 01:00:00 CET 2012","1.0","East","2.0"
"Mon Jan 16 04:00:00 CET 2012","-0.0","ENE","3.0"
"Mon Jan 16 10:00:00 CET 2012","-1.0","NE","2.0"
"Mon Jan 16 13:00:00 CET 2012","3.0","NNE","2.0"
"Mon Jan 16 16:00:00 CET 2012","4.0","NE","2.0"
"Mon Jan 16 22:00:00 CET 2012","2.0","East","2.0"
"Tue Jan 17 01:00:00 CET 2012","1.0","East","2.0"
"Tue Jan 17 10:00:00 CET 2012","2.0","SSW","2.0"
"Tue Jan 17 13:00:00 CET 2012","5.0","SSW","3.0"
"Tue Jan 17 16:00:00 CET 2012","5.0","SSW","2.0"
"Tue Jan 17 19:00:00 CET 2012","3.0","South","2.0"
"Wed Jan 18 01:00:00 CET 2012","1.0","SW","4.0"
"Wed Jan 18 04:00:00 CET 2012","1.0","SSW","3.0"
"Wed Jan 18 07:00:00 CET 2012","1.0","SSW","4.0"
"Wed Jan 18 10:00:00 CET 2012","1.0","SSW","5.0"
"Wed Jan 18 13:00:00 CET 2012","3.0","SSW","5.0"
"Wed Jan 18 16:00:00 CET 2012","4.0","SSW","6.0"
"Wed Jan 18 19:00:00 CET 2012","5.0","SW","5.0"
"Wed Jan 18 22:00:00 CET 2012","6.0","SW","5.0"
"Thu Jan 19 01:00:00 CET 2012","6.0","SW","5.0"
"Thu Jan 19 04:00:00 CET 2012","8.0","SW","5.0"
"Thu Jan 19 10:00:00 CET 2012","11.0","WSW","7.0"
"Thu Jan 19 16:00:00 CET 2012","8.0","West","6.0"
"Fri Jan 20 01:00:00 CET 2012","6.0","WNW","6.0"
"Fri Jan 20 04:00:00 CET 2012","6.0","WNW","8.0"
"Fri Jan 20 07:00:00 CET 2012","6.0","WNW","7.0"
"Fri Jan 20 10:00:00 CET 2012","7.0","West","7.0"
"Fri Jan 20 13:00:00 CET 2012","5.0","SW","4.0"
"Fri Jan 20 16:00:00 CET 2012","7.0","WNW","6.0"
"Fri Jan 20 19:00:00 CET 2012","6.0","WNW","4.0"
"Fri Jan 20 22:00:00 CET 2012","6.0","WSW","3.0"
"Sat Jan 21 01:00:00 CET 2012","5.0","SW","3.0"
"Sat Jan 21 04:00:00 CET 2012","7.0","WSW","5.0"
"Sat Jan 21 07:00:00 CET 2012","8.0","SW","6.0"
"Sat Jan 21 10:00:00 CET 2012","10.0","WSW","7.0"
"Sat Jan 21 13:00:00 CET 2012","11.0","WSW","8.0"
"Sat Jan 21 16:00:00 CET 2012","11.0","WSW","7.0"
"Sat Jan 21 19:00:00 CET 2012","9.0","West","5.0"
"Sat Jan 21 22:00:00 CET 2012","8.0","West","7.0"
"Sun Jan 22 01:00:00 CET 2012","7.0","West","6.0"
"Sun Jan 22 04:00:00 CET 2012","7.0","West","6.0"
"Sun Jan 22 07:00:00 CET 2012","6.0","West","5.0"
"Sun Jan 22 10:00:00 CET 2012","6.0","SW","6.0"
"Sun Jan 22 13:00:00 CET 2012","10.0","West","8.0"
"Sun Jan 22 16:00:00 CET 2012","10.0","West","10.0"
"Sun Jan 22 19:00:00 CET 2012","9.0","West","6.0"
"Sun Jan 22 22:00:00 CET 2012","8.0","WNW","4.0"
"Mon Jan 23 04:00:00 CET 2012","6.0","West","4.0"
"Mon Jan 23 07:00:00 CET 2012","5.0","WSW","4.0"
"Mon Jan 23 10:00:00 CET 2012","5.0","WSW","3.0"
"Mon Jan 23 13:00:00 CET 2012","8.0","WSW","5.0"
"Mon Jan 23 16:00:00 CET 2012","7.0","West","5.0"
"Mon Jan 23 19:00:00 CET 2012","7.0","West","4.0"
"Mon Jan 23 22:00:00 CET 2012","6.0","West","4.0"
"Tue Jan 24 01:00:00 CET 2012","5.0","NW","3.0"
"Tue Jan 24 04:00:00 CET 2012","3.0","WSW","3.0"
"Tue Jan 24 07:00:00 CET 2012","2.0","WSW","3.0"
"Tue Jan 24 13:00:00 CET 2012","5.0","SW","3.0"
"Tue Jan 24 16:00:00 CET 2012","4.0","SW","2.0"
"Tue Jan 24 22:00:00 CET 2012","4.0","SE","4.0"
"Wed Jan 25 01:00:00 CET 2012","4.0","SE","3.0"
"Wed Jan 25 04:00:00 CET 2012","4.0","SE","4.0"
"Wed Jan 25 07:00:00 CET 2012","4.0","SE","4.0"
"Wed Jan 25 10:00:00 CET 2012","5.0","SE","4.0"
"Wed Jan 25 13:00:00 CET 2012","6.0","SE","3.0"
"Wed Jan 25 16:00:00 CET 2012","7.0","South","3.0"
"Wed Jan 25 19:00:00 CET 2012","7.0","SSW","3.0"
"Wed Jan 25 22:00:00 CET 2012","7.0","South","3.0"
"Thu Jan 26 01:00:00 CET 2012","7.0","SSE","3.0"
"Thu Jan 26 04:00:00 CET 2012","8.0","SSE","3.0"
"Thu Jan 26 07:00:00 CET 2012","8.0","SSE","5.0"
"Thu Jan 26 10:00:00 CET 2012","8.0","South","3.0"
"Thu Jan 26 13:00:00 CET 2012","9.0","South","4.0"
"Thu Jan 26 16:00:00 CET 2012","7.0","WSW","3.0"
"Thu Jan 26 19:00:00 CET 2012","7.0","SW","4.0"
"Thu Jan 26 22:00:00 CET 2012","6.0","SW","4.0"
"Fri Jan 27 01:00:00 CET 2012","5.0","SSW","5.0"
"Fri Jan 27 04:00:00 CET 2012","5.0","SW","4.0"
"Fri Jan 27 07:00:00 CET 2012","4.0","SW","4.0"
"Fri Jan 27 10:00:00 CET 2012","5.0","SSW","4.0"
"Fri Jan 27 13:00:00 CET 2012","7.0","SW","4.0"
"Fri Jan 27 16:00:00 CET 2012","6.0","WSW","3.0"
"Fri Jan 27 19:00:00 CET 2012","6.0","SW","2.0"
"Fri Jan 27 22:00:00 CET 2012","5.0","South","3.0"
"Sat Jan 28 01:00:00 CET 2012","4.0","South","3.0"
"Sat Jan 28 04:00:00 CET 2012","4.0","SSE","2.0"
"Sat Jan 28 07:00:00 CET 2012","4.0","ENE","1.0"
"Sat Jan 28 10:00:00 CET 2012","4.0","ESE","3.0"
"Sat Jan 28 13:00:00 CET 2012","6.0","East","2.0"
"Sat Jan 28 16:00:00 CET 2012","6.0","NNE","1.0"
"Sat Jan 28 19:00:00 CET 2012","4.0","NNE","1.0"
"Sat Jan 28 22:00:00 CET 2012","3.0","NE","2.0"
"Sun Jan 29 01:00:00 CET 2012","1.0","NE","3.0"
"Sun Jan 29 07:00:00 CET 2012","1.0","NE","3.0"
"Sun Jan 29 10:00:00 CET 2012","1.0","NE","3.0"
"Sun Jan 29 22:00:00 CET 2012","-1.0","NNE","3.0"
"Mon Jan 30 01:00:00 CET 2012","-1.0","NE","2.0"
"Mon Jan 30 04:00:00 CET 2012","-1.0","NNE","1.0"
"Mon Jan 30 10:00:00 CET 2012","-0.0","NNE","1.0"
"Mon Jan 30 13:00:00 CET 2012","-0.0","SW","1.0"
"Mon Jan 30 16:00:00 CET 2012","0.0","SE","2.0"
"Mon Jan 30 19:00:00 CET 2012","0.0","SE","1.0"
"Mon Jan 30 22:00:00 CET 2012","0.0","East","2.0"
"Tue Jan 31 01:00:00 CET 2012","-0.0","NE","2.0"
"Tue Jan 31 04:00:00 CET 2012","-1.0","NE","2.0"
"Tue Jan 31 07:00:00 CET 2012","-0.0","NE","2.0"
"Tue Jan 31 13:00:00 CET 2012","-2.0","NE","4.0"
"Tue Jan 31 16:00:00 CET 2012","-1.0","NE","4.0"
"Tue Jan 31 19:00:00 CET 2012","-2.0","NE","2.0"
"Tue Jan 31 22:00:00 CET 2012","-3.0","ENE","4.0"
"Wed Feb 01 01:00:00 CET 2012","-4.0","ENE","4.0"
"Wed Feb 01 04:00:00 CET 2012","-6.0","NE","3.0"
"Wed Feb 01 07:00:00 CET 2012","-7.0","ENE","4.0"
"Wed Feb 01 10:00:00 CET 2012","-6.0","ENE","4.0"
"Wed Feb 01 13:00:00 CET 2012","-3.0","NE","5.0"
"Wed Feb 01 16:00:00 CET 2012","-1.0","NE","6.0"
